kind,kit,category,name,ui_base,registry_file,source_files,preview_image,upstream_url
block,quartz,features,features-9,radix,registry/radix/pro/features-9.json,source/radix/pro/blocks/features/nine/index.tsx;source/radix/pro/blocks/features/nine/illustrations/message.tsx;source/radix/pro/blocks/features/nine/illustrations/poll.tsx;source/radix/pro/blocks/features/nine/illustrations/uptime.tsx,previews/quartz/features-9.png,https://tailark.com/r/radix/features-9.json
block,quartz,features-carousel,features-carousel-1,base,registry/base/pro/features-carousel-1.json,source/base/pro/blocks/features-carousel/one/index.tsx;source/base/pro/blocks/features-carousel/one/illustrations/ai-autocomplete.tsx;source/base/pro/blocks/features-carousel/one/illustrations/email.tsx;source/base/pro/blocks/features-carousel/one/illustrations/notes-3.tsx;source/base/pro/blocks/features-carousel/one/illustrations/translation-interface.tsx,previews/quartz/features-carousel-1.png,https://tailark.com/r/features-carousel-1.json
block,quartz,features-carousel,features-carousel-1,radix,registry/radix/pro/features-carousel-1.json,source/radix/pro/blocks/features-carousel/one/index.tsx;source/radix/pro/blocks/features-carousel/one/illustrations/ai-autocomplete.tsx;source/radix/pro/blocks/features-carousel/one/illustrations/email.tsx;source/radix/pro/blocks/features-carousel/one/illustrations/notes-3.tsx;source/radix/pro/blocks/features-carousel/one/illustrations/translation-interface.tsx,previews/quartz/features-carousel-1.png,https://tailark.com/r/radix/features-carousel-1.json
block,quartz,features-carousel,features-carousel-2,base,registry/base/pro/features-carousel-2.json,source/base/pro/blocks/features-carousel/two/index.tsx;source/base/pro/blocks/features-carousel/two/illustrations/ai-autocomplete.tsx;source/base/pro/blocks/features-carousel/two/illustrations/notes-3.tsx;source/base/pro/blocks/features-carousel/two/illustrations/notes.tsx;source/base/pro/blocks/features-carousel/two/illustrations/translation-interface.tsx,previews/quartz/features-carousel-2.png,https://tailark.com/r/features-carousel-2.json
block,quartz,features-carousel,features-carousel-2,radix,registry/radix/pro/features-carousel-2.json,source/radix/pro/blocks/features-carousel/two/index.tsx;source/radix/pro/blocks/features-carousel/two/illustrations/ai-autocomplete.tsx;source/radix/pro/blocks/features-carousel/two/illustrations/notes-3.tsx;source/radix/pro/blocks/features-carousel/two/illustrations/notes.tsx;source/radix/pro/blocks/features-carousel/two/illustrations/translation-interface.tsx,previews/quartz/features-carousel-2.png,https://tailark.com/r/radix/features-carousel-2.json
block,quartz,features-carousel,features-carousel-3,base,registry/base/pro/features-carousel-3.json,source/base/pro/blocks/features-carousel/three/index.tsx;source/base/pro/blocks/features-carousel/three/illustrations/ai-autocomplete.tsx;source/base/pro/blocks/features-carousel/three/illustrations/models-3.tsx;source/base/pro/blocks/features-carousel/three/illustrations/notes-3.tsx;source/base/pro/blocks/features-carousel/three/illustrations/token-counter.tsx;source/base/pro/blocks/features-carousel/three/illustrations/translation-interface.tsx;source/base/pro/blocks/features-carousel/three/illustrations/workflow.tsx,previews/quartz/features-carousel-3.png,https://tailark.com/r/features-carousel-3.json
block,quartz,features-carousel,features-carousel-3,radix,registry/radix/pro/features-carousel-3.json,source/radix/pro/blocks/features-carousel/three/index.tsx;source/radix/pro/blocks/features-carousel/three/illustrations/ai-autocomplete.tsx;source/radix/pro/blocks/features-carousel/three/illustrations/models-3.tsx;source/radix/pro/blocks/features-carousel/three/illustrations/notes-3.tsx;source/radix/pro/blocks/features-carousel/three/illustrations/token-counter.tsx;source/radix/pro/blocks/features-carousel/three/illustrations/translation-interface.tsx;source/radix/pro/blocks/features-carousel/three/illustrations/workflow.tsx,previews/quartz/features-carousel-3.png,https://tailark.com/r/radix/features-carousel-3.json
block,quartz,features-carousel,features-carousel-4,base,registry/base/pro/features-carousel-4.json,source/base/pro/blocks/features-carousel/four/index.tsx;source/base/pro/blocks/features-carousel/four/illustrations/ai-autocomplete.tsx;source/base/pro/blocks/features-carousel/four/illustrations/models-3.tsx;source/base/pro/blocks/features-carousel/four/illustrations/notes-3.tsx;source/base/pro/blocks/features-carousel/four/illustrations/token-counter.tsx;source/base/pro/blocks/features-carousel/four/illustrations/translation-interface.tsx;source/base/pro/blocks/features-carousel/four/illustrations/workflow.tsx,previews/quartz/features-carousel-4.png,https://tailark.com/r/features-carousel-4.json
block,quartz,features-carousel,features-carousel-4,radix,registry/radix/pro/features-carousel-4.json,source/radix/pro/blocks/features-carousel/four/index.tsx;source/radix/pro/blocks/features-carousel/four/illustrations/ai-autocomplete.tsx;source/radix/pro/blocks/features-carousel/four/illustrations/models-3.tsx;source/radix/pro/blocks/features-carousel/four/illustrations/notes-3.tsx;source/radix/pro/blocks/features-carousel/four/illustrations/token-counter.tsx;source/radix/pro/blocks/features-carousel/four/illustrations/translation-interface.tsx;source/radix/pro/blocks/features-carousel/four/illustrations/workflow.tsx,previews/quartz/features-carousel-4.png,https://tailark.com/r/radix/features-carousel-4.json
block,quartz,features-carousel,features-carousel-5,base,registry/base/pro/features-carousel-5.json,source/base/pro/blocks/features-carousel/five/index.tsx;source/base/pro/blocks/features-carousel/five/illustrations/ai-autocomplete.tsx;source/base/pro/blocks/features-carousel/five/illustrations/flow-5.tsx;source/base/pro/blocks/features-carousel/five/illustrations/map.tsx;source/base/pro/blocks/features-carousel/five/illustrations/models-3.tsx;source/base/pro/blocks/features-carousel/five/illustrations/notes-3.tsx;source/base/pro/blocks/features-carousel/five/illustrations/workflow.tsx,previews/quartz/features-carousel-5.png,https://tailark.com/r/features-carousel-5.json
